Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
 764.00;      35.5278;      10.1061
 766.00;      35.5274;      10.0950
 768.00;      35.5269;      10.0750
 770.00;      35.5270;      10.0646
 772.00;      35.5269;      10.0549
 774.00;      35.5267;      10.0467
 776.00;      35.5266;      10.0217
 778.00;      35.5274;      10.0147
 780.00;      35.5266;      10.0047
 782.00;      35.5276;       9.9791
 784.00;      35.5274;       9.9738
 786.00;      35.5275;       9.9727
 788.00;      35.5273;       9.9708
 790.00;      35.5260;       9.9531
 792.00;      35.5262;       9.9277
 794.00;      35.5264;       9.9215
 796.00;      35.5260;       9.9091
 798.00;      35.5265;       9.8985
 800.00;      35.5253;       9.8766
 802.00;      35.5253;       9.8442
 804.00;      35.5240;       9.8073
 806.00;      35.5252;       9.7851
 808.00;      35.5254;       9.7787
 810.00;      35.5256;       9.7699
 812.00;      35.5262;       9.7479
 814.00;      35.5265;       9.7405
 816.00;      35.5266;       9.7378
 818.00;      35.5266;       9.7340
 820.00;      35.5268;       9.7305
 822.00;      35.5260;       9.7157
 824.00;      35.5255;       9.7085
 826.00;      35.5242;       9.6969
 828.00;      35.5236;       9.6787
 830.00;      35.5236;       9.6776
 832.00;      35.5236;       9.6750
 834.00;      35.5244;       9.6635
 836.00;      35.5225;       9.6467
 838.00;      35.5212;       9.6049
 840.00;      35.5186;       9.5803
 842.00;      35.5141;       9.5560
 844.00;      35.5107;       9.5304
 846.00;      35.5088;       9.5096
 848.00;      35.5140;       9.5088
 850.00;      35.5197;       9.5107
 852.00;      35.5215;       9.5002
 854.00;      35.5211;       9.4694
 856.00;      35.5175;       9.4320
 858.00;      35.5167;       9.4148
 860.00;      35.5167;       9.4080
 862.00;      35.5167;       9.4033
 864.00;      35.5168;       9.3974
 866.00;      35.5169;       9.3937
 868.00;      35.5161;       9.3870
 870.00;      35.5163;       9.3788
 872.00;      35.5159;       9.3734
 874.00;      35.5154;       9.3648
 876.00;      35.5145;       9.3499
 878.00;      35.5139;       9.3396
 880.00;      35.5137;       9.3344
 882.00;      35.5132;       9.3290
 884.00;      35.5122;       9.3119
 886.00;      35.5128;       9.2975
 888.00;      35.5129;       9.2956
 890.00;      35.5118;       9.2863
 892.00;      35.5111;       9.2781
 894.00;      35.5095;       9.2656
 896.00;      35.5084;       9.2369
 898.00;      35.5084;       9.2279
 900.00;      35.5086;       9.2276
 902.00;      35.5086;       9.2253
 904.00;      35.5088;       9.2231
 906.00;      35.5088;       9.2206
 908.00;      35.5086;       9.2154
 910.00;      35.5081;       9.2051
 912.00;      35.5056;       9.1755
 914.00;      35.5061;       9.0754
 916.00;      35.5065;       9.0682
 918.00;      35.5069;       9.0553
 920.00;      35.5074;       9.0432
 922.00;      35.5077;       9.0323
 924.00;      35.5076;       9.0274
 926.00;      35.5080;       9.0206
 928.00;      35.5081;       9.0198
 930.00;      35.5076;       9.0163
 932.00;      35.5080;       9.0084
 934.00;      35.5078;       9.0016
 936.00;      35.5077;       8.9992
 938.00;      35.5078;       8.9998
 940.00;      35.5075;       8.9959
 942.00;      35.5073;       8.9929
 944.00;      35.5068;       8.9855
 946.00;      35.5042;       8.9656
 948.00;      35.5026;       8.9450
 950.00;      35.5021;       8.9211
 952.00;      35.5017;       8.9108
 954.00;      35.5008;       8.9062
 956.00;      35.5016;       8.8732
 958.00;      35.5023;       8.8598
 960.00;      35.5029;       8.8490
 962.00;      35.5031;       8.8456
 964.00;      35.5036;       8.8432
 966.00;      35.5037;       8.8414
 968.00;      35.5040;       8.8391
 970.00;      35.5043;       8.8382
 972.00;      35.5044;       8.8373
 974.00;      35.5046;       8.8356
 976.00;      35.5047;       8.8351
 978.00;      35.5048;       8.8327
 980.00;      35.5048;       8.8302
 982.00;      35.5049;       8.8284
 984.00;      35.5050;       8.8245
 986.00;      35.5048;       8.8161
 988.00;      35.5052;       8.8097
 990.00;      35.5049;       8.8020
 992.00;      35.5081;       8.7895
 994.00;      35.5106;       8.7686
 996.00;      35.5117;       8.7542
 998.00;      35.5113;       8.7349
1000.00;      35.5088;       8.7168
1002.00;      35.5045;       8.6391
1004.00;      35.5003;       8.6201
1006.00;      35.5024;       8.5906
1008.00;      35.5010;       8.5810
1010.00;      35.5032;       8.5769
1012.00;      35.5042;       8.5728
1014.00;      35.5019;       8.5529
1016.00;      35.5107;       8.5605
1018.00;      35.5134;       8.5701
1020.00;      35.5128;       8.5632
1022.00;      35.5115;       8.5549
1024.00;      35.5110;       8.5486
1026.00;      35.5102;       8.5432
1028.00;      35.5100;       8.5408
1030.00;      35.5097;       8.5379
1032.00;      35.5097;       8.5383
1034.00;      35.5097;       8.5367
1036.00;      35.5099;       8.5362
1038.00;      35.5092;       8.5263
1040.00;      35.5094;       8.5216
1042.00;      35.5096;       8.5226
1044.00;      35.5104;       8.5244
1046.00;      35.5123;       8.5169
1048.00;      35.5160;       8.5105
1050.00;      35.5168;       8.5119
1052.00;      35.5178;       8.5140
1054.00;      35.5200;       8.5178
1056.00;      35.5202;       8.5000
1058.00;      35.5166;       8.4788
1060.00;      35.5125;       8.4348
1062.00;      35.5148;       8.4180
1064.00;      35.5155;       8.4117
1066.00;      35.5162;       8.4017
1068.00;      35.5181;       8.4019
1070.00;      35.5184;       8.4022
1072.00;      35.5193;       8.3973
1074.00;      35.5173;       8.3685
1076.00;      35.5172;       8.3609
1078.00;      35.5166;       8.3543
1080.00;      35.5144;       8.3424
1082.00;      35.5133;       8.3239
1084.00;      35.5118;       8.2962
1086.00;      35.5140;       8.2815
1088.00;      35.5147;       8.2791
1090.00;      35.5148;       8.2776
1092.00;      35.5146;       8.2758
1094.00;      35.5144;       8.2753
1096.00;      35.5147;       8.2759
1098.00;      35.5147;       8.2757
1100.00;      35.5148;       8.2756
